StationID,StationName,State,Latitude,Longitude,StationType
8410834,"Pettegrove Point, Dochet Island",Maine,+45.1284,-67.1447,Harmonic
8410140,Eastport,Maine,+44.9046,-66.9829,Harmonic
8410715,"Garnet Point, Pennamquan River",Maine,+44.9233,-67.1300,Harmonic
8410714,Coffins Point,Maine,+44.8700,-67.1083,Harmonic
8410875,Birch Islands,Maine,+44.8750,-67.1583,Subordinate
8410864,"Gravelly Point, Whiting Bay",Maine,+44.8233,-67.1517,Harmonic
8411060,Cutler Farris Wharf,Maine,+44.6567,-67.2100,Harmonic
8411250,Cutler Naval Base,Maine,+44.6417,-67.2967,Harmonic
8411411,"Stone Island, Machias Bay",Maine,+44.6033,-67.3683,Subordinate
8411467,"Machiasport, Machias River",Maine,+44.6983,-67.3933,Subordinate
8411696,"Shoppee Point, Englishman Bay",Maine,+44.6150,-67.4967,Subordinate
8411801,Steele Harbor Island,Maine,+44.4933,-67.5433,Subordinate
8412581,Milbridge,Maine,+44.5400,-67.8750,Harmonic
8412568,"Green Island, Petit Manan Bar",Maine,+44.3717,-67.8700,Subordinate
8412932,Prospect Harbor,Maine,+44.4000,-68.0217,Subordinate
8413320,Bar Harbor,Maine,+44.3917,-68.2050,Harmonic
8413564,Southwest Harbor,Maine,+44.2750,-68.3133,Subordinate
8413651,Bass Harbor,Maine,+44.2417,-68.3533,Subordinate
8413079,"Winter Harbor, Frenchman Bay",Maine,+44.3883,-68.0867,Subordinate
8414112,Blue Hill Harbor,Maine,+44.4083,-68.5633,Subordinate
8413825,Mackerel Cove,Maine,+44.1700,-68.4350,Subordinate
8413801,Ellsworth,Maine,+44.5350,-68.4217,Harmonic
8413857,"Burnt Coat Harbor, Swans Island",Maine,+44.1450,-68.4500,Subordinate
8414168,Center Harbor,Maine,+44.2633,-68.5867,Subordinate
8414424,Little Deer Isle,Maine,+44.2917,-68.6933,Subordinate
8414288,Isle Au Haut,Maine,+44.0733,-68.6367,Subordinate
8414249,"Oceanville, Deer Isle",Maine,+44.1923,-68.6209,Harmonic
8414348,"Stonington, Deer Isle",Maine,+44.1533,-68.6617,Subordinate
8414876,"Matinicus Harbor, Wheaton Island",Maine,+43.8617,-68.8817,Subordinate
8414776,"Vinalhaven, Vinalhaven Island",Maine,+44.0433,-68.8400,Subordinate
8414856,North Haven,Maine,+44.1267,-68.8733,Subordinate
8414672,Castine,Maine,+44.3867,-68.7967,Subordinate
8414888,"Pulpit Harbor, North Haven Island",Maine,+44.1567,-68.8867,Harmonic
8414721,Fort Point,Maine,+44.4717,-68.8133,Harmonic
8414581,"Gross Point, Eastern Channel",Maine,+44.5367,-68.7583,Subordinate
8414684,Bucksport,Maine,+44.5717,-68.8017,Subordinate
8414781,Winterport,Maine,+44.6367,-68.8417,Subordinate
8414692,Sandy Point,Maine,+44.5050,-68.8050,Subordinate
8414612,Bangor,Maine,+44.7850,-68.7667,Harmonic
8415191,Belfast,Maine,+44.4267,-69.0050,Subordinate
8415490,Rockland,Maine,+44.1050,-69.1017,Harmonic
8415809,Tenants Harbor,Maine,+43.9650,-69.2167,Subordinate
8416092,Monhegan Island,Maine,+43.7650,-69.3217,Subordinate
8416028,"Burnt Island, Georges Islands",Maine,+43.8717,-69.2950,Subordinate
8415933,Port Clyde,Maine,+43.9250,-69.2600,Subordinate
8415867,Otis Cove,Maine,+43.9867,-69.2367,Subordinate
8415709,Thomaston,Maine,+44.0717,-69.1817,Harmonic
8416501,"New Harbor, Muscongus Bay",Maine,+43.8750,-69.4917,Subordinate
8416381,"Muscongus Harbor, Muscongus Sound",Maine,+43.9667,-69.4417,Subordinate
8416141,Friendship Harbor,Maine,+43.9700,-69.3417,Subordinate
8416581,"Pemaquid Harbor, Johns Bay",Maine,+43.8767,-69.5250,Subordinate
8416232,Jones Neck,Maine,+44.0150,-69.3800,Subordinate
8416224,Waldoboro,Maine,+44.0933,-69.3767,Subordinate
8416721,East Boothbay,Maine,+43.8650,-69.5833,Subordinate
8416731,Walpole,Maine,+43.9333,-69.5800,Harmonic
8416608,Newcastle,Maine,+44.0333,-69.5367,Subordinate
8416796,"Damariscove Harbor, Damariscove Island",Maine,+43.7583,-69.6150,Subordinate
8416828,Boothbay Harbor,Maine,+43.8500,-69.6283,Subordinate
8416908,"Southport, Townsend Gut",Maine,+43.8467,-69.6617,Subordinate
8416968,Isle Of Springs,Maine,+43.8600,-69.6867,Subordinate
8416928,Cross River Entrance,Maine,+43.9250,-69.6700,Subordinate
8416921,Wiscasset,Maine,+44.0000,-69.6667,Subordinate
8416804,Sheepscot (Below Rapids),Maine,+44.0500,-69.6183,Subordinate
8416961,Back River,Maine,+43.9583,-69.6833,Subordinate
8417067,"Robinhood, Sasanoa River",Maine,+43.8533,-69.7333,Subordinate
8417127,"Mill Point, Sasanoa River",Maine,+43.8867,-69.7633,Subordinate
8417177,Hunniwell Point,Maine,+43.7550,-69.7850,Harmonic
8417221,Phippsburg,Maine,+43.8183,-69.8100,Subordinate
8417227,Bath,Maine,+43.9250,-69.8150,Harmonic
8417271,"Sturgeon Island, Merrymeeting Bay",Maine,+43.9817,-69.8350,Subordinate
8417377,Androscoggin River Entrance,Maine,+43.9500,-69.8883,Subordinate
8417527,"Brunswick, Androscoggin River",Maine,+43.9217,-69.9633,Subordinate
8417391,"Bowdoinham, Cathance River",Maine,+44.0083,-69.8950,Subordinate
8417387,"Cundy Harbor, New Meadows River",Maine,+43.7883,-69.8933,Subordinate
8417367,"Howard Point, New Meadows River",Maine,+43.8900,-69.8833,Subordinate
8417647,"South Harpswell, Potts Harbor",Maine,+43.7383,-70.0233,Subordinate
8417553,"Wilson Cove, Middle Bay",Maine,+43.8250,-69.9767,Subordinate
8417801,South Freeport,Maine,+43.8200,-70.1033,Subordinate
8417948,Prince Point,Maine,+43.7617,-70.1733,Subordinate
8417874,Doyle Point,Maine,+43.7517,-70.1400,Subordinate
8418015,Falmouth Foreside,Maine,+43.7317,-70.2050,Subordinate
8417881,Great Chebeague Island,Maine,+43.7217,-70.1417,Subordinate
8417821,"Cliff Island, Luckse Sound",Maine,+43.6950,-70.1100,Subordinate
8417911,Vaill Island,Maine,+43.6767,-70.1550,Subordinate
8417941,Long Island,Maine,+43.6900,-70.1700,Subordinate
8418009,Cow Island,Maine,+43.6900,-70.1900,Subordinate
8418137,Presumpscot River Bridge,Maine,+43.6867,-70.2467,Subordinate
8418175,Back Cove,Maine,+43.6767,-70.2550,Subordinate
8417988,Great Diamond Island,Maine,+43.6700,-70.2000,Subordinate
8418001,Peak Island,Maine,+43.6550,-70.2000,Subordinate
8417997,Cushing Island,Maine,+43.6450,-70.1983,Subordinate
8418150,Portland,Maine,+43.6567,-70.2467,Harmonic
8418268,Fore River,Maine,+43.6417,-70.2850,Subordinate
8418031,Portland Head Light,Maine,+43.6233,-70.2067,Subordinate
8418445,Pine Point,Maine,+43.5450,-70.3333,Harmonic
8418557,Old Orchard Beach,Maine,+43.5167,-70.3667,Subordinate
8418606,"Camp Ellis, Saco River Entrance",Maine,+43.4617,-70.3817,Harmonic
8418828,"Biddeford, Saco River",Maine,+43.4917,-70.4467,Harmonic
8418772,Cape Porpoise,Maine,+43.3667,-70.4317,Subordinate
8418911,Kennebunkport,Maine,+43.3583,-70.4767,Harmonic
8419317,Wells,Maine,+43.3200,-70.5633,Harmonic
8419399,Cape Neddick,Maine,+43.1667,-70.5933,Subordinate
8419518,York Harbor,Maine,+43.1317,-70.6417,Subordinate
8419528,"Fort Point, York Harbor",Maine,+43.1300,-70.6383,Subordinate
8419590,"Seapoint, Cutts Island",Maine,+43.0850,-70.6617,Subordinate
8424601,Jaffrey Point,New Hampshire,+43.0567,-70.7133,Subordinate
